mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour,Robust_pTour_theoretic
1140963,1868247,3302343,3270719,2412369,2470451,9803134,7307594,0.25,4011089,3269626
1140963,1868247,3302343,3270719,2412369,2470451,9803134,7307594,0.5,3256647,3060168
1140963,1868247,3302343,3270719,2412369,2470451,9803134,7307594,0.75,2916013,3066021
1140963,1868247,3302343,3270719,2412369,2470451,9803134,7307594,1.0,2760687,3042524
1140963,1868247,3302343,3270719,2412369,2470451,9803134,7307594,1.25,2958550,3002044
1140963,1868247,3302343,3270719,2412369,2470451,25722053,14579989,0.25,6352442,4040432
1140963,1868247,3302343,3270719,2412369,2470451,25722053,14579989,0.5,4835193,3494020
1140963,1868247,3302343,3270719,2412369,2470451,25722053,14579989,0.75,3831472,3322691
1140963,1868247,3302343,3270719,2412369,2470451,25722053,14579989,1.0,3230856,3219255
1140963,1868247,3302343,3270719,2412369,2470451,25722053,14579989,1.25,3134563,3151208
1140963,1868247,3302343,3270719,2412369,2470451,9538650,6689846,0.25,3689894,3182266
1140963,1868247,3302343,3270719,2412369,2470451,9538650,6689846,0.5,3194754,3045482
1140963,1868247,3302343,3270719,2412369,2470451,9538650,6689846,0.75,2953773,3064203
1140963,1868247,3302343,3270719,2412369,2470451,9538650,6689846,1.0,3018223,3074446
1140963,1868247,3302343,3270719,2412369,2470451,9538650,6689846,1.25,2927661,3075260
1140963,1868247,3302343,3270719,2412369,2470451,23603458,14164001,0.25,6188356,3994914
1140963,1868247,3302343,3270719,2412369,2470451,23603458,14164001,0.5,4624389,3497155
1140963,1868247,3302343,3270719,2412369,2470451,23603458,14164001,0.75,3203233,3297148
1140963,1868247,3302343,3270719,2412369,2470451,23603458,14164001,1.0,2922582,3239489
1140963,1868247,3302343,3270719,2412369,2470451,23603458,14164001,1.25,3160625,3184395
1140963,1868247,3302343,3270719,2412369,2470451,27320839,14696403,0.25,6768028,4022495
1140963,1868247,3302343,3270719,2412369,2470451,27320839,14696403,0.5,4441925,3535909
1140963,1868247,3302343,3270719,2412369,2470451,27320839,14696403,0.75,3254041,3343626
1140963,1868247,3302343,3270719,2412369,2470451,27320839,14696403,1.0,3233188,3234881
1140963,1868247,3302343,3270719,2412369,2470451,27320839,14696403,1.25,3165415,3171208
1140963,1868247,3302343,3270719,2412369,2470451,9951138,6382628,0.25,3649562,3199341
1140963,1868247,3302343,3270719,2412369,2470451,9951138,6382628,0.5,3158511,3070915
1140963,1868247,3302343,3270719,2412369,2470451,9951138,6382628,0.75,2869811,3049143
1140963,1868247,3302343,3270719,2412369,2470451,9951138,6382628,1.0,2763900,3035271
1140963,1868247,3302343,3270719,2412369,2470451,9951138,6382628,1.25,2945797,3052301
1140963,1868247,3302343,3270719,2412369,2470451,25335969,15149943,0.25,6777207,4036368
1140963,1868247,3302343,3270719,2412369,2470451,25335969,15149943,0.5,4071682,3438105
1140963,1868247,3302343,3270719,2412369,2470451,25335969,15149943,0.75,3229511,3351246
1140963,1868247,3302343,3270719,2412369,2470451,25335969,15149943,1.0,3153451,3225064
1140963,1868247,3302343,3270719,2412369,2470451,25335969,15149943,1.25,3103122,3184891
1140963,1868247,3302343,3270719,2412369,2470451,24030388,14457318,0.25,6533947,4082766
1140963,1868247,3302343,3270719,2412369,2470451,24030388,14457318,0.5,4056396,3483695
1140963,1868247,3302343,3270719,2412369,2470451,24030388,14457318,0.75,3232183,3303418
1140963,1868247,3302343,3270719,2412369,2470451,24030388,14457318,1.0,2909077,3293339
1140963,1868247,3302343,3270719,2412369,2470451,24030388,14457318,1.25,3128092,3171709
1140963,1868247,3302343,3270719,2412369,2470451,8281643,6412360,0.25,3222079,3079836
1140963,1868247,3302343,3270719,2412369,2470451,8281643,6412360,0.5,3047059,2991526
1140963,1868247,3302343,3270719,2412369,2470451,8281643,6412360,0.75,2758574,2994114
1140963,1868247,3302343,3270719,2412369,2470451,8281643,6412360,1.0,2843902,3040220
1140963,1868247,3302343,3270719,2412369,2470451,8281643,6412360,1.25,2960378,3066951
1140963,1868247,3302343,3270719,2412369,2470451,8589381,6009059,0.25,3844670,3160563
1140963,1868247,3302343,3270719,2412369,2470451,8589381,6009059,0.5,3176228,3047209
1140963,1868247,3302343,3270719,2412369,2470451,8589381,6009059,0.75,3031185,3009241
1140963,1868247,3302343,3270719,2412369,2470451,8589381,6009059,1.0,2951972,3031232
1140963,1868247,3302343,3270719,2412369,2470451,8589381,6009059,1.25,2895778,3089206
1140963,1868247,3302343,3270719,2412369,2470451,1559310,2618682,0.25,2224672,2585650
1140963,1868247,3302343,3270719,2412369,2470451,1559310,2618682,0.5,2314586,2671619
1140963,1868247,3302343,3270719,2412369,2470451,1559310,2618682,0.75,2298152,2766630
1140963,1868247,3302343,3270719,2412369,2470451,1559310,2618682,1.0,2590184,2815989
1140963,1868247,3302343,3270719,2412369,2470451,1559310,2618682,1.25,2729104,2820576
1140963,1868247,3302343,3270719,2412369,2470451,10143218,7487140,0.25,3997450,3314014
1140963,1868247,3302343,3270719,2412369,2470451,10143218,7487140,0.5,3203785,3100595
1140963,1868247,3302343,3270719,2412369,2470451,10143218,7487140,0.75,2905311,3110423
1140963,1868247,3302343,3270719,2412369,2470451,10143218,7487140,1.0,2947928,3060350
1140963,1868247,3302343,3270719,2412369,2470451,10143218,7487140,1.25,3032254,3050517
1140963,1868247,3302343,3270719,2412369,2470451,24356966,15220816,0.25,6725616,4058930
1140963,1868247,3302343,3270719,2412369,2470451,24356966,15220816,0.5,4056112,3417306
1140963,1868247,3302343,3270719,2412369,2470451,24356966,15220816,0.75,3443902,3258581
1140963,1868247,3302343,3270719,2412369,2470451,24356966,15220816,1.0,3357882,3160980
1140963,1868247,3302343,3270719,2412369,2470451,24356966,15220816,1.25,3105558,3145103
1140963,1868247,3302343,3270719,2412369,2470451,8421576,5975861,0.25,3810167,3107176
1140963,1868247,3302343,3270719,2412369,2470451,8421576,5975861,0.5,3043493,3074849
1140963,1868247,3302343,3270719,2412369,2470451,8421576,5975861,0.75,2798974,3002271
1140963,1868247,3302343,3270719,2412369,2470451,8421576,5975861,1.0,2793546,3037455
1140963,1868247,3302343,3270719,2412369,2470451,8421576,5975861,1.25,2926652,3036218
1140963,1868247,3302343,3270719,2412369,2470451,27491254,14744725,0.25,7292348,4052430
1140963,1868247,3302343,3270719,2412369,2470451,27491254,14744725,0.5,4386683,3535660
1140963,1868247,3302343,3270719,2412369,2470451,27491254,14744725,0.75,3964589,3335325
1140963,1868247,3302343,3270719,2412369,2470451,27491254,14744725,1.0,3275770,3208459
1140963,1868247,3302343,3270719,2412369,2470451,27491254,14744725,1.25,3156742,3175859
1140963,1868247,3302343,3270719,2412369,2470451,4260516,3827537,0.25,2824333,2806152
1140963,1868247,3302343,3270719,2412369,2470451,4260516,3827537,0.5,2619892,2840219
1140963,1868247,3302343,3270719,2412369,2470451,4260516,3827537,0.75,2775524,2877056
1140963,1868247,3302343,3270719,2412369,2470451,4260516,3827537,1.0,2745739,2928139
1140963,1868247,3302343,3270719,2412369,2470451,4260516,3827537,1.25,2820775,3024933
1140963,1868247,3302343,3270719,2412369,2470451,12192014,7873831,0.25,4594450,3403731
1140963,1868247,3302343,3270719,2412369,2470451,12192014,7873831,0.5,3418028,3156839
1140963,1868247,3302343,3270719,2412369,2470451,12192014,7873831,0.75,2947272,3088581
1140963,1868247,3302343,3270719,2412369,2470451,12192014,7873831,1.0,3135880,3091056
1140963,1868247,3302343,3270719,2412369,2470451,12192014,7873831,1.25,2969905,3069178
